date,ad_format,placement,audience,impressions,clicks,conversions,cost,ctr,cpc,cpa
2024-01-03,原生,信息流,45-54岁,909,22,0,52.06,0.0252,2.37,0
2024-01-03,视频,侧边栏,35-44岁,689,19,0,52.05,0.0282,2.74,0
2024-01-03,原生,底部,55岁以上,897,16,0,43.75,0.0179,2.73,0
2024-01-03,信息流,首页,18-24岁,1185,37,0,85.14,0.032,2.3,0
2024-01-03,图片,底部,55岁以上,1025,14,0,32.4,0.0145,2.31,0
2024-01-03,横幅,开屏,18-24岁,537,9,0,22.02,0.0178,2.45,0
2024-01-03,信息流,信息流,45-54岁,1382,36,0,106.03,0.0265,2.95,0
2024-01-03,信息流,首页,55岁以上,1074,33,0,70.37,0.031,2.13,0
2024-01-03,横幅,侧边栏,18-24岁,701,8,0,22.51,0.0122,2.81,0
2024-01-04,信息流,首页,45-54岁,1025,32,0,80.17,0.0319,2.51,0
2024-01-04,原生,首页,45-54岁,968,25,0,51.22,0.0261,2.05,0
2024-01-04,图片,底部,25-34岁,1048,17,0,48.11,0.0169,2.83,0
2024-01-04,原生,首页,55岁以上,889,25,0,50.75,0.0286,2.03,0
2024-01-04,信息流,首页,25-34岁,1369,42,0,96.53,0.031,2.3,0
2024-01-04,原生,侧边栏,25-34岁,1002,19,0,55.01,0.0197,2.9,0
2024-01-04,信息流,开屏,18-24岁,1331,39,0,94.13,0.0297,2.41,0
2024-01-04,视频,信息流,35-44岁,819,27,0,71.74,0.0338,2.66,0
2024-01-04,视频,底部,45-54岁,767,17,0,41.84,0.0231,2.46,0
2024-01-04,信息流,底部,55岁以上,1137,24,0,51.22,0.0217,2.13,0
2024-01-04,信息流,信息流,45-54岁,1005,29,0,75.39,0.0289,2.6,0
2024-01-04,原生,底部,55岁以上,734,11,0,32.39,0.0161,2.94,0
2024-01-04,图片,信息流,35-44岁,1086,21,0,42.11,0.0202,2.01,0
2024-01-04,横幅,信息流,45-54岁,527,9,0,19.12,0.0174,2.12,0
2024-01-04,视频,开屏,45-54岁,776,30,0,82.8,0.0388,2.76,0
2024-01-04,图片,开屏,25-34岁,921,22,0,48.96,0.0242,2.23,0
2024-01-04,图片,底部,18-24岁,921,14,0,30.23,0.0156,2.16,0
2024-01-04,信息流,侧边栏,25-34岁,1426,33,0,75.24,0.0236,2.28,0
2024-01-04,视频,开屏,35-44岁,714,30,0,77.32,0.0422,2.58,0
2024-01-04,原生,侧边栏,55岁以上,909,19,0,41.72,0.0209,2.2,0
2024-01-04,横幅,信息流,18-24岁,713,12,0,34.3,0.0174,2.86,0
2024-01-04,信息流,信息流,55岁以上,1155,31,0,69.25,0.0274,2.23,0
2024-01-04,横幅,底部,55岁以上,540,6,0,17.05,0.0124,2.84,0
2024-01-04,信息流,底部,18-24岁,1269,27,0,70.04,0.0219,2.59,0
2024-01-04,原生,开屏,55岁以上,745,22,0,63.08,0.0308,2.87,0
2024-01-04,原生,开屏,45-54岁,957,24,0,57.87,0.0258,2.41,0
2024-01-04,原生,首页,25-34岁,1070,27,0,65.84,0.0252,2.44,0
2024-01-04,横幅,信息流,25-34岁,583,9,0,21.94,0.0163,2.44,0
2024-01-04,视频,首页,45-54岁,929,30,0,62.58,0.0328,2.09,0
2024-01-04,原生,信息流,45-54岁,970,23,0,50.77,0.0244,2.21,0
2024-01-04,原生,信息流,55岁以上,893,21,0,45.72,0.0242,2.18,0
2024-01-04,横幅,底部,18-24岁,583,7,0,15.76,0.0124,2.25,0
2024-01-04,信息流,信息流,18-24岁,1354,36,0,94.66,0.027,2.63,0
2024-01-04,视频,侧边栏,55岁以上,943,23,0,58.84,0.0248,2.56,0
2024-01-04,原生,侧边栏,35-44岁,917,19,0,42.49,0.0216,2.24,0
2024-01-04,横幅,首页,35-44岁,667,10,0,29.31,0.0163,2.93,0
2024-01-04,信息流,首页,18-24岁,1240,37,0,79.83,0.03,2.16,0
2024-01-04,视频,信息流,25-34岁,903,32,0,66.47,0.0361,2.08,0
2024-01-04,横幅,信息流,18-24岁,717,11,0,23.88,0.0162,2.17,0
2024-01-04,视频,开屏,18-24岁,689,24,0,61.68,0.0359,2.57,0
2024-01-05,信息流,开屏,25-34岁,1197,40,0,116.6,0.034,2.92,0
2024-01-05,信息流,信息流,25-34岁,987,24,0,58.88,0.0252,2.45,0
2024-01-05,信息流,底部,18-24岁,1143,24,0,59.2,0.0216,2.47,0
2024-01-05,图片,底部,45-54岁,1180,18,0,43.25,0.0158,2.4,0
2024-01-05,原生,信息流,18-24岁,933,22,0,62.08,0.024,2.82,0
2024-01-05,图片,首页,45-54岁,937,23,0,64.81,0.0251,2.82,0
2024-01-05,信息流,侧边栏,45-54岁,1293,31,0,72.27,0.0247,2.33,0
2024-01-05,原生,侧边栏,55岁以上,765,15,0,37.22,0.0198,2.48,0
2024-01-05,原生,信息流,25-34岁,890,20,0,52.78,0.0234,2.64,0
2024-01-05,横幅,信息流,55岁以上,703,11,0,28.59,0.0165,2.6,0
2024-01-05,图片,首页,45-54岁,1037,25,0,55.07,0.0246,2.2,0
2024-01-05,横幅,侧边栏,35-44岁,663,8,0,17.02,0.0129,2.13,0
2024-01-05,信息流,侧边栏,45-54岁,1053,25,0,71.54,0.0244,2.86,0
2024-01-05,图片,侧边栏,35-44岁,844,14,0,30.86,0.0167,2.2,0
2024-01-05,原生,首页,18-24岁,1075,28,0,61.04,0.0263,2.18,0
2024-01-05,横幅,底部,18-24岁,575,7,0,15.65,0.0128,2.24,0
2024-01-05,横幅,开屏,45-54岁,663,12,0,32.16,0.0186,2.68,0
2024-01-05,图片,侧边栏,45-54岁,966,17,0,36.44,0.0179,2.14,0
2024-01-05,信息流,开屏,45-54岁,1235,41,0,86.72,0.0339,2.12,0
2024-01-05,信息流,信息流,25-34岁,1018,30,0,72.41,0.0295,2.41,0
2024-01-05,视频,侧边栏,18-24岁,767,20,0,48.65,0.0263,2.43,0
2024-01-05,横幅,首页,25-34岁,492,9,0,19.13,0.0198,2.13,0
2024-01-05,图片,侧边栏,35-44岁,1038,19,0,46.34,0.0192,2.44,0
2024-01-05,横幅,底部,18-24岁,702,8,0,20.31,0.0119,2.54,0
2024-01-05,图片,信息流,55岁以上,1057,22,0,53.89,0.021,2.45,0
2024-01-05,原生,开屏,25-34岁,1027,31,0,74.38,0.0311,2.4,0
2024-01-05,视频,信息流,45-54岁,719,23,0,61.04,0.0323,2.65,0
2024-01-05,图片,底部,35-44岁,989,15,0,43.92,0.016,2.93,0
2024-01-05,视频,信息流,55岁以上,758,26,0,72.0,0.0346,2.77,0
2024-01-05,图片,开屏,45-54岁,859,20,0,54.96,0.0243,2.75,0
2024-01-05,横幅,信息流,35-44岁,659,11,0,22.12,0.0177,2.01,0
2024-01-06,原生,底部,18-24岁,755,12,0,31.26,0.0167,2.61,0
2024-01-06,图片,信息流,45-54岁,1009,23,0,51.1,0.0229,2.22,0
2024-01-06,信息流,开屏,55岁以上,1388,46,0,122.07,0.0338,2.65,0
2024-01-06,信息流,开屏,55岁以上,1120,38,0,101.57,0.0346,2.67,0
2024-01-06,原生,侧边栏,35-44岁,798,15,0,37.76,0.0189,2.52,0
2024-01-06,信息流,侧边栏,55岁以上,966,23,0,48.45,0.0246,2.11,0
2024-01-06,原生,信息流,18-24岁,1071,25,0,65.08,0.0237,2.6,0
2024-01-06,视频,底部,55岁以上,751,16,0,43.66,0.0224,2.73,0
2024-01-06,视频,底部,25-34岁,740,18,0,46.9,0.0247,2.61,0
2024-01-06,图片,首页,55岁以上,1088,27,0,54.4,0.0253,2.01,0
2024-01-06,信息流,底部,55岁以上,990,18,0,45.64,0.0182,2.54,0
2024-01-06,原生,首页,45-54岁,1055,27,0,61.73,0.0259,2.29,0
2024-01-06,视频,底部,25-34岁,907,22,0,56.39,0.0252,2.56,0
2024-01-06,横幅,信息流,45-54岁,630,9,0,20.96,0.0157,2.33,0
2024-01-06,原生,底部,18-24岁,876,13,0,26.17,0.0159,2.01,0
2024-01-06,原生,信息流,18-24岁,761,16,0,34.97,0.0222,2.19,0
2024-01-06,信息流,开屏,18-24岁,1246,42,0,84.52,0.0343,2.01,0
2024-01-06,图片,信息流,45-54岁,946,19,0,50.45,0.0206,2.66,0
2024-01-06,原生,底部,45-54岁,969,18,0,38.28,0.0186,2.13,0
2024-01-06,图片,侧边栏,55岁以上,965,18,0,49.46,0.0194,2.75,0
2024-01-06,原生,信息流,18-24岁,852,19,0,52.05,0.0232,2.74,0
2024-01-06,横幅,开屏,18-24岁,671,14,0,32.76,0.0211,2.34,0
2024-01-06,原生,开屏,35-44岁,1050,27,0,59.34,0.0262,2.2,0
2024-01-06,原生,开屏,55岁以上,774,20,0,58.42,0.0262,2.92,0
2024-01-06,原生,首页,25-34岁,1000,28,0,59.79,0.0287,2.14,0
2024-01-06,信息流,信息流,25-34岁,1217,30,0,89.86,0.0251,3.0,0
2024-01-06,图片,首页,18-24岁,1094,25,0,51.76,0.0232,2.07,0
2024-01-06,信息流,首页,55岁以上,1384,42,0,120.26,0.0309,2.86,0
2024-01-06,图片,首页,25-34岁,990,22,0,58.96,0.0222,2.68,0
2024-01-06,图片,侧边栏,45-54岁,903,16,0,46.03,0.0179,2.88,0
2024-01-06,信息流,信息流,25-34岁,1161,32,0,71.97,0.0283,2.25,0
2024-01-06,横幅,开屏,35-44岁,499,10,0,23.04,0.0205,2.3,0
2024-01-06,横幅,首页,18-24岁,556,10,0,26.98,0.019,2.7,0
2024-01-06,图片,首页,18-24岁,1046,24,0,66.04,0.0236,2.75,0
2024-01-06,横幅,底部,35-44岁,534,6,0,14.87,0.0117,2.48,0
2024-01-06,信息流,开屏,35-44岁,998,32,0,84.73,0.0322,2.65,0
2024-01-06,原生,首页,18-24岁,1045,28,0,83.36,0.0272,2.98,0
2024-01-06,信息流,底部,35-44岁,1390,29,0,82.46,0.0213,2.84,0
2024-01-06,视频,底部,55岁以上,956,24,0,54.23,0.0261,2.26,0
2024-01-06,图片,首页,25-34岁,1050,26,0,53.65,0.0254,2.06,0
2024-01-06,原生,首页,18-24岁,793,22,0,51.91,0.028,2.36,0
2024-01-06,图片,首页,45-54岁,925,23,0,48.93,0.0257,2.13,0
2024-01-06,信息流,底部,45-54岁,1044,19,0,56.46,0.0185,2.97,0
2024-01-07,信息流,侧边栏,25-34岁,978,23,0,65.12,0.0244,2.83,0
2024-01-07,视频,侧边栏,35-44岁,810,23,0,63.57,0.0286,2.76,0
2024-01-07,横幅,底部,25-34岁,704,7,0,16.54,0.0112,2.36,0
2024-01-07,原生,首页,18-24岁,839,20,0,59.93,0.025,3.0,0
2024-01-07,横幅,侧边栏,35-44岁,658,8,0,17.34,0.0128,2.17,0
2024-01-07,图片,侧边栏,25-34岁,937,15,0,30.78,0.0162,2.05,0
2024-01-07,横幅,首页,55岁以上,586,9,0,21.64,0.0164,2.4,0
2024-01-07,图片,侧边栏,35-44岁,1018,20,0,41.74,0.0197,2.09,0
2024-01-07,视频,开屏,25-34岁,764,29,0,78.2,0.038,2.7,0
2024-01-07,图片,底部,25-34岁,1155,17,0,50.01,0.0149,2.94,0
2024-01-07,图片,信息流,35-44岁,862,18,0,40.5,0.021,2.25,0
2024-01-07,原生,开屏,25-34岁,810,21,0,55.25,0.0263,2.63,0
2024-01-07,信息流,底部,35-44岁,1361,26,0,59.82,0.0197,2.3,0
2024-01-07,图片,侧边栏,18-24岁,1157,19,0,50.58,0.0169,2.66,0
2024-01-07,视频,开屏,35-44岁,659,25,0,59.28,0.0391,2.37,0
2024-01-07,视频,底部,25-34岁,724,15,0,38.81,0.0221,2.59,0
2024-01-07,原生,侧边栏,25-34岁,1031,20,0,42.83,0.0198,2.14,0
2024-01-07,图片,首页,45-54岁,1071,28,0,75.02,0.0263,2.68,0
2024-01-07,原生,开屏,25-34岁,807,23,0,60.67,0.0296,2.64,0
2024-01-07,图片,底部,25-34岁,836,14,0,34.66,0.0176,2.48,0
2024-01-07,原生,首页,25-34岁,796,22,0,54.46,0.0283,2.48,0
2024-01-07,信息流,开屏,25-34岁,1234,37,0,102.36,0.0303,2.77,0
2024-01-07,图片,开屏,45-54岁,1037,24,0,69.2,0.0237,2.88,0
2024-01-07,原生,首页,55岁以上,757,20,0,58.22,0.0271,2.91,0
2024-01-07,原生,底部,45-54岁,882,14,0,34.47,0.0167,2.46,0
2024-01-07,视频,首页,18-24岁,649,21,0,58.3,0.0333,2.78,0
2024-01-07,横幅,信息流,35-44岁,496,7,0,14.16,0.015,2.02,0
2024-01-07,图片,首页,35-44岁,815,18,0,41.93,0.0226,2.33,0
2024-01-07,视频,信息流,55岁以上,768,23,0,63.15,0.0302,2.75,0
2024-01-07,图片,侧边栏,45-54岁,1061,20,0,44.2,0.0194,2.21,0
2024-01-07,信息流,开屏,55岁以上,1425,44,0,124.35,0.0314,2.83,0
2024-01-07,视频,首页,25-34岁,777,28,0,58.89,0.0364,2.1,0
2024-01-07,图片,底部,35-44岁,981,16,0,36.12,0.0168,2.26,0
2024-01-07,信息流,开屏,18-24岁,1340,43,0,103.78,0.0327,2.41,0
2024-01-07,图片,侧边栏,35-44岁,1032,19,0,53.49,0.0188,2.82,0
2024-01-08,图片,首页,45-54岁,1102,24,0,67.03,0.0218,2.79,0
2024-01-08,视频,首页,18-24岁,833,28,0,67.1,0.0336,2.4,0
2024-01-08,原生,侧边栏,45-54岁,994,20,0,40.81,0.0206,2.04,0
2024-01-08,视频,信息流,55岁以上,883,31,0,62.22,0.0354,2.01,0
2024-01-08,视频,信息流,45-54岁,729,25,0,56.82,0.0344,2.27,0
2024-01-08,信息流,首页,25-34岁,1167,35,0,94.91,0.0305,2.71,0
2024-01-08,视频,侧边栏,55岁以上,860,24,0,58.28,0.0289,2.43,0
2024-01-08,图片,首页,45-54岁,1053,23,0,62.72,0.022,2.73,0
2024-01-08,信息流,信息流,45-54岁,1194,33,0,83.96,0.0284,2.54,0
2024-01-08,信息流,底部,45-54岁,1256,26,0,59.73,0.0213,2.3,0
2024-01-08,图片,开屏,55岁以上,1005,24,0,55.64,0.0245,2.32,0
2024-01-08,图片,开屏,25-34岁,908,24,0,52.89,0.0265,2.2,0
2024-01-08,图片,信息流,45-54岁,1111,24,0,60.09,0.0221,2.5,0
2024-01-08,横幅,开屏,55岁以上,695,13,0,34.75,0.0193,2.67,0
2024-01-08,横幅,开屏,25-34岁,660,13,0,37.67,0.0205,2.9,0
2024-01-08,视频,开屏,45-54岁,772,29,0,76.49,0.0377,2.64,0
2024-01-08,视频,底部,45-54岁,795,17,0,38.12,0.0219,2.24,0
2024-01-08,横幅,信息流,55岁以上,709,10,0,25.3,0.0153,2.53,0
2024-01-08,横幅,开屏,35-44岁,653,11,0,24.7,0.0181,2.25,0
2024-01-08,图片,开屏,55岁以上,880,23,0,65.65,0.0262,2.85,0
2024-01-08,信息流,信息流,55岁以上,1423,37,0,88.52,0.0265,2.39,0
2024-01-08,信息流,底部,35-44岁,1105,22,0,47.13,0.0199,2.14,0
2024-01-08,信息流,信息流,45-54岁,1316,39,0,115.98,0.0297,2.97,0
2024-01-08,原生,信息流,18-24岁,838,18,0,50.01,0.0222,2.78,0
2024-01-08,视频,信息流,35-44岁,870,28,0,61.9,0.0329,2.21,0
2024-01-08,原生,底部,18-24岁,1033,17,0,43.62,0.0173,2.57,0
2024-01-08,原生,首页,25-34岁,792,20,0,47.81,0.0253,2.39,0
2024-01-08,信息流,信息流,45-54岁,1313,39,0,101.54,0.0298,2.6,0
2024-01-08,横幅,信息流,55岁以上,712,12,0,35.63,0.0175,2.97,0
2024-01-08,视频,首页,45-54岁,759,29,0,68.6,0.0395,2.37,0
2024-01-08,视频,首页,25-34岁,915,34,0,83.21,0.0374,2.45,0
2024-01-08,信息流,底部,55岁以上,1252,23,0,47.7,0.0184,2.07,0
2024-01-08,图片,首页,45-54岁,919,23,0,68.61,0.0251,2.98,0
2024-01-08,原生,底部,35-44岁,760,13,0,38.4,0.0174,2.95,0
2024-01-08,原生,侧边栏,45-54岁,812,15,0,30.7,0.0192,2.05,0
2024-01-09,视频,信息流,18-24岁,903,32,0,81.41,0.0355,2.54,0
2024-01-09,视频,信息流,55岁以上,703,22,0,56.35,0.0323,2.56,0
2024-01-09,信息流,信息流,25-34岁,1302,37,0,83.48,0.0286,2.26,0
2024-01-09,横幅,首页,35-44岁,717,14,0,36.63,0.0195,2.62,0
2024-01-09,视频,首页,45-54岁,689,22,0,62.35,0.0334,2.83,0
2024-01-09,信息流,侧边栏,55岁以上,1165,26,0,75.85,0.0228,2.92,0
2024-01-09,信息流,底部,35-44岁,1316,26,0,58.19,0.0204,2.24,0
2024-01-09,视频,信息流,45-54岁,856,30,0,69.03,0.0357,2.3,0
2024-01-09,原生,底部,25-34岁,759,14,0,33.02,0.0189,2.36,0
2024-01-09,信息流,侧边栏,45-54岁,1331,32,0,87.37,0.0243,2.73,0
2024-01-09,图片,开屏,45-54岁,940,24,0,53.95,0.0256,2.25,0
2024-01-09,原生,底部,35-44岁,1028,16,0,34.79,0.0159,2.17,0
2024-01-09,视频,信息流,55岁以上,864,29,0,78.34,0.0346,2.7,0
2024-01-09,视频,首页,35-44岁,743,24,0,70.85,0.0328,2.95,0
2024-01-09,信息流,信息流,55岁以上,1308,37,0,78.86,0.0288,2.13,0
2024-01-09,原生,信息流,45-54岁,923,22,0,50.78,0.0245,2.31,0
2024-01-09,原生,侧边栏,55岁以上,935,18,0,46.15,0.0203,2.56,0
2024-01-09,视频,信息流,55岁以上,875,26,0,77.34,0.03,2.97,0
2024-01-09,横幅,底部,45-54岁,587,7,0,14.56,0.013,2.08,0
2024-01-09,横幅,开屏,18-24岁,503,9,0,23.14,0.0184,2.57,0
2024-01-09,原生,底部,35-44岁,859,15,0,37.65,0.0181,2.51,0
2024-01-09,信息流,开屏,25-34岁,1414,49,0,108.89,0.0351,2.22,0
2024-01-09,图片,首页,25-34岁,834,18,0,47.88,0.0225,2.66,0
2024-01-09,原生,底部,18-24岁,837,14,0,30.92,0.0169,2.21,0
2024-01-10,视频,侧边栏,55岁以上,733,19,0,38.53,0.0264,2.03,0
2024-01-10,信息流,开屏,45-54岁,1157,40,0,81.5,0.0353,2.04,0
2024-01-10,横幅,首页,45-54岁,697,12,0,31.79,0.0184,2.65,0
2024-01-10,信息流,底部,18-24岁,1265,25,0,69.29,0.0201,2.77,0
2024-01-10,横幅,首页,25-34岁,676,13,0,31.39,0.0194,2.41,0
2024-01-10,信息流,开屏,25-34岁,1042,32,0,81.3,0.0313,2.54,0
2024-01-10,原生,底部,25-34岁,988,18,0,36.62,0.0188,2.03,0
2024-01-10,视频,底部,25-34岁,672,16,0,32.63,0.0242,2.04,0
2024-01-10,图片,侧边栏,35-44岁,1049,19,0,45.24,0.0183,2.38,0
2024-01-10,信息流,信息流,25-34岁,1131,28,0,73.81,0.025,2.64,0
2024-01-10,原生,侧边栏,25-34岁,1037,19,0,55.59,0.0188,2.93,0
2024-01-10,视频,首页,35-44岁,774,25,0,65.57,0.0331,2.62,0
2024-01-10,横幅,首页,55岁以上,489,8,0,23.53,0.0181,2.94,0
2024-01-10,图片,侧边栏,35-44岁,916,17,0,40.03,0.0191,2.35,0
2024-01-10,信息流,侧边栏,25-34岁,1249,26,0,55.34,0.0212,2.13,0
2024-01-10,信息流,侧边栏,35-44岁,1379,28,0,83.71,0.0205,2.99,0
2024-01-10,原生,信息流,45-54岁,934,22,0,54.71,0.0246,2.49,0
2024-01-10,横幅,首页,18-24岁,540,9,0,19.21,0.018,2.13,0
2024-01-10,横幅,开屏,45-54岁,485,9,0,24.06,0.0205,2.67,0
2024-01-10,原生,底部,18-24岁,891,15,0,40.3,0.0171,2.69,0
2024-01-10,横幅,首页,45-54岁,625,10,0,25.69,0.0171,2.57,0
2024-01-10,信息流,开屏,55岁以上,1006,29,0,80.26,0.0297,2.77,0
2024-01-10,原生,信息流,45-54岁,960,23,0,56.99,0.0243,2.48,0
2024-01-10,横幅,底部,35-44岁,570,7,0,15.42,0.0128,2.2,0
2024-01-10,视频,侧边栏,45-54岁,854,23,0,62.09,0.0273,2.7,0
2024-01-10,原生,信息流,18-24岁,788,17,0,41.99,0.022,2.47,0
2024-01-10,视频,底部,18-24岁,671,17,0,50.18,0.0263,2.95,0
2024-01-10,视频,底部,18-24岁,927,20,0,41.67,0.0217,2.08,0
2024-01-10,横幅,底部,25-34岁,481,6,0,13.99,0.0126,2.33,0
2024-01-10,横幅,信息流,45-54岁,675,10,0,27.27,0.0152,2.73,0
2024-01-10,横幅,首页,18-24岁,710,14,0,41.97,0.0198,3.0,0
2024-01-10,信息流,首页,45-54岁,1078,33,0,93.22,0.0308,2.82,0
2024-01-10,图片,底部,25-34岁,872,13,0,31.51,0.0156,2.42,0
2024-01-10,信息流,底部,35-44岁,1358,26,0,66.65,0.0193,2.56,0
2024-01-10,信息流,开屏,25-34岁,1335,43,0,125.19,0.0327,2.91,0
2024-01-10,信息流,信息流,45-54岁,972,27,0,57.36,0.0281,2.12,0
2024-01-10,视频,开屏,55岁以上,768,27,0,73.27,0.0354,2.71,0
2024-01-10,视频,开屏,25-34岁,915,32,0,95.6,0.0356,2.99,0
2024-01-10,信息流,底部,45-54岁,1019,21,0,45.77,0.0207,2.18,0
2024-01-10,横幅,侧边栏,45-54岁,568,8,0,17.45,0.0146,2.18,0
